tool,category,task,sub-task,website,people
Photoshop,research presentation,graphics editing,editing software,,"Michele Veldsman,Rosanna van Hespen,Sarah Jelbert,Jacquie Tran,Paul Mignone,Amy Whitehead,Angelina Duan,Areej Alsheikh-Hussain,Scott Kolbe,Guoping Hu,Katherine Drummond"
Pixelmator,research presentation,graphics editing,editing software,,
SigmaScan,research presentation,graphics editing,editing software,http://www.sigmaplot.co.uk/products/sigmascan/sigmascan.php,
Adobe Kuler,research presentation,graphics editing,icons/colors/simple graphic creation,,
Noun Project,research presentation,graphics editing,icons/colors/simple graphic creation,https://thenounproject.com/,
Omnigaffle,research presentation,graphics editing,icons/colors/simple graphic creation,https://www.omnigroup.com/omnigraffle,
Piktochart,research presentation,graphics editing,icons/colors/simple graphic creation,,Alwyn Davidson
Beamer,research presentation,slides,,,David Marks
Google Slides,research presentation,slides,,,
Haiku Deck,research presentation,slides,,,Jacquie Tran
HTML,research presentation,slides,,,
InDesign,research presentation,slides,,,
Keynote,research presentation,slides,,,"Daniel Pazmino,Isabell Kiral-Kornek,Jason Lodge,Finley Roberts"
LaTeX Powerdot,research presentation,slides,,,Melanie Roberts
Open Office Impress Presentation,research presentation,slides,,,
PowerPoint,research presentation,slides,,,"Rita Busuttil,Kate Giljohann,Michael Strack,Michele Veldsman,Maria Doyle,Marine Chkadua,Nga Nguyen,Amy Loughman,Sharon Pattison,Bryant Gagliardi,Emily Kothe,Saras Windecker,Jane Younger,Rosanna van Hespen,Janavi Rambhatla,Sarah Jelbert,Jacquie Tran,Damien Irving,Rosey Billington,Isabell Kiral-Kornek,Paul Mignone,Amy Whitehead,Nikki Rubinstein,Angelina Duan,Alwyn Davidson,Areej Alsheikh-Hussain,Finley Roberts,Rupan Preet Kaur,Melanie Roberts,Matthew Malishev,Cindy Chew,Srujana Sahebjada,Catarina Kordsachia,Scott Kolbe,David Marks,Guoping Hu,Elham Shoorcheh,Katherine Drummond"
Prezi,research presentation,slides,,,"Michael Strack,Nga Nguyen,Amy Loughman,Jacquie Tran,Wenx Hansen,Guoping Hu"
R presentations,research presentation,slides,,,
Slidify,research presentation,slides,,,
Scribus,research presentation,,,,"Kate Giljohann,Daniel Pazmino,Amy Whitehead"
